standard_code,standard_name,high_weight,low_weight,notes
040201,总胆固醇,1.5,0.5,偏高是心血管风险核心因素
040202,甘油三酯,1.3,0.3,偏高有意义偏低无临床意义
040203,高密度脂蛋白胆固醇,0.3,1.5,HDL偏低才危险偏高反而好
040204,低密度脂蛋白胆固醇,1.8,0.3,LDL偏高是动脉粥样硬化核心
040103,空腹血糖(GLU(0H)),1.8,1.2,偏高比偏低更危险但低血糖也严重
040501,谷丙转氨酶,1.5,0.0,ALT偏高有意义偏低无临床意义
040502,谷草转氨酶,1.5,0.0,AST偏高有意义偏低无临床意义
040401,血尿素氮,1.3,0.8,偏高提示肾功能损害
040402,血肌酐,1.5,0.3,偏高提示肾功能不全
040403,血尿酸,1.5,0.3,偏高是痛风和肾损害风险
030101,白细胞计数,0.8,1.5,偏低(免疫缺陷)比偏高更危险
030102,红细胞计数,0.8,1.3,偏低(贫血)更常见更需关注
030103,血红蛋白,0.5,1.5,偏低(贫血)远比偏高常见和危险
030105,血小板,0.8,1.5,偏低(出血风险)比偏高更紧急
050701,超敏促甲状腺激素,1.3,1.3,偏高偏低都有临床意义(甲减/甲亢)
050901,癌胚抗原,1.5,0.0,肿瘤标志物只看偏高
040702,甲胎蛋白,1.8,0.0,AFP偏高高度敏感于肝癌
051001,糖类抗原19-9,1.5,0.0,CA19-9偏高提示消化道肿瘤
051002,糖类抗原12-5,1.5,0.0,CA12-5偏高提示卵巢等肿瘤
050801,类风湿因子,1.5,0.0,RF只看偏高
050301,抗甲状腺过氧化物酶抗体,1.3,0.0,TPO-Ab只看偏高
040409,同型半胱氨酸,1.5,0.0,HCY偏高是心血管独立风险因素
040301,钾离子,1.0,1.5,低钾比高钾更常见且可致命(心律失常)
040302,钠离子,1.0,1.3,低钠更常见(稀释性低钠血症)
